,asli,tanpa_stopword,lemmatized
44,"['however', 'it', 'is', 'possible', 'for', 'viruses', 'to', 'mutate', 'and', 'that', 'is', 'something', 'scientists', 'will', 'be', 'watching', 'closely']","['however', 'possible', 'viruses', 'mutate', 'something', 'scientists', 'watching', 'closely']","['however', 'possible', 'virus', 'mutate', 'something', 'scientist', 'watching', 'closely']"
45,"['the', 'world', 'health', 'organization', 'say', 'the', 'outbreak', 'can', 'be', 'contained', 'but', 'this', 'is', 'not', 'a', 'universally', 'shared', 'view']","['world', 'health', 'organization', 'say', 'outbreak', 'contained', 'universally', 'shared', 'view']","['world', 'health', 'organization', 'say', 'outbreak', 'contained', 'universally', 'shared', 'view']"
46,"['experts', 'including', 'the', 'former', 'head', 'of', 'the', 'us', 'centers', 'for', 'disease', 'control', 'argue', 'the', 'virus', 'could', 'become', 'a', 'pandemic', 'a', 'global', 'epidemic']","['experts', 'including', 'former', 'head', 'us', 'centers', 'disease', 'control', 'argue', 'virus', 'could', 'become', 'pandemic', 'global', 'epidemic']","['expert', 'including', 'former', 'head', 'u', 'center', 'disease', 'control', 'argue', 'virus', 'could', 'become', 'pandemic', 'global', 'epidemic']"
47,"['it', 's', 'highly', 'likely', 'that', '2019ncov', 'will', 'be', 'a', 'pandemic', 'spreading', 'beyond', 'china']","['highly', 'likely', '2019ncov', 'pandemic', 'spreading', 'beyond', 'china']","['highly', 'likely', '2019ncov', 'pandemic', 'spreading', 'beyond', 'china']"
48,"['we', 'don', 't', 'know', 'yet', 'whether', 'the', 'pandemic', 'will', 'be', 'mild', 'moderate', 'or', 'severe']","['know', 'yet', 'whether', 'pandemic', 'mild', 'moderate', 'severe']","['know', 'yet', 'whether', 'pandemic', 'mild', 'moderate', 'severe']"
49,"['key', 'is', 'to', 'find', 'and', 'implement', 'the', 'best', 'ways', 'to', 'protect', 'people']","['key', 'find', 'implement', 'best', 'ways', 'protect', 'people']","['key', 'find', 'implement', 'best', 'way', 'protect', 'people']"
50,"['pic', 'twitter', 'com', 'zjjjuxylv6', 'end', 'of', 'twitter', 'post', 'by', 'drtomfrieden', 'the', 'only', 'way', 'it', 'can', 'be', 'stopped', 'is', 'to', 'prevent', 'people', 'who', 'have', 'become', 'infected', 'from', 'spreading', 'the', 'virus', 'to', 'others']","['pic', 'twitter', 'com', 'zjjjuxylv6', 'end', 'twitter', 'post', 'drtomfrieden', 'way', 'stopped', 'prevent', 'people', 'become', 'infected', 'spreading', 'virus', 'others']","['pic', 'twitter', 'com', 'zjjjuxylv6', 'end', 'twitter', 'post', 'drtomfrieden', 'way', 'stopped', 'prevent', 'people', 'become', 'infected', 'spreading', 'virus', 'others']"
51,"['that', 'means', 'a', 'massive', 'feat', 'of', 'detective', 'work', 'will', 'also', 'be', 'needed', 'to', 'identify', 'people', 'who', 'have', 'been', 'in', 'close', 'contact', 'with', 'patients', 'to', 'see', 'if', 'they', 'have', 'the', 'virus']","['means', 'massive', 'feat', 'detective', 'work', 'also', 'needed', 'identify', 'people', 'close', 'contact', 'patients', 'see', 'virus']","['mean', 'massive', 'feat', 'detective', 'work', 'also', 'needed', 'identify', 'people', 'close', 'contact', 'patient', 'see', 'virus']"
52,['no'],[],[]
53,"['however', 'the', 'work', 'to', 'develop', 'them', 'is', 'already', 'under', 'way', 'and', 'it', 'is', 'hoped', 'there', 'will', 'be', 'human', 'trials', 'before', 'the', 'end', 'of', 'the', 'year']","['however', 'work', 'develop', 'already', 'way', 'hoped', 'human', 'trials', 'end', 'year']","['however', 'work', 'develop', 'already', 'way', 'hoped', 'human', 'trial', 'end', 'year']"
54,"['and', 'hospitals', 'are', 'testing', 'anti', 'viral', 'drugs', 'to', 'see', 'if', 'they', 'have', 'an', 'impact']","['hospitals', 'testing', 'anti', 'viral', 'drugs', 'see', 'impact']","['hospital', 'testing', 'anti', 'viral', 'drug', 'see', 'impact']"
